,index,pivotY,slop
0,1950-01-01,1950-01-01,0.0
1,1951-01-01,1950-01-01,0.0
2,1952-01-01,1950-01-01,0.0
3,1953-01-01,1950-01-01,0.0
4,1954-01-01,1950-01-01,0.0
5,1955-01-01,1950-01-01,0.0
6,1956-01-01,1950-01-01,0.0
7,1957-01-01,1950-01-01,0.0
8,1958-01-01,1950-01-01,0.0
9,1959-01-01,1950-01-01,0.0
10,1960-01-01,1950-01-01,0.0
11,1961-01-01,1950-01-01,0.0
12,1962-01-01,1950-01-01,0.0
13,1963-01-01,1950-01-01,0.0
14,1964-01-01,1950-01-01,0.0
15,1965-01-01,1950-01-01,0.0
16,1966-01-01,1950-01-01,0.0
17,1967-01-01,1950-01-01,0.0
18,1968-01-01,1950-01-01,0.0
19,1969-01-01,1950-01-01,0.0
20,1970-01-01,1950-01-01,0.0
21,1971-01-01,1950-01-01,0.0
22,1972-01-01,1950-01-01,0.0
23,1973-01-01,1950-01-01,0.0
24,1974-01-01,1950-01-01,0.0
25,1975-01-01,1950-01-01,0.0
26,1976-01-01,1950-01-01,0.0
27,1977-01-01,1950-01-01,0.0
28,1978-01-01,1950-01-01,0.0
29,1979-01-01,1950-01-01,0.0
30,1980-01-01,1950-01-01,0.0
31,1981-01-01,1950-01-01,0.0
32,1982-01-01,1950-01-01,0.0
33,1983-01-01,1950-01-01,0.0
34,1984-01-01,1950-01-01,0.0
35,1985-01-01,1950-01-01,0.0
36,1986-01-01,1950-01-01,0.0
37,1987-01-01,1950-01-01,0.0
38,1988-01-01,1950-01-01,0.0
39,1989-01-01,1950-01-01,0.0
40,1990-01-01,1950-01-01,0.0
41,1991-01-01,1950-01-01,0.0
42,1992-01-01,1950-01-01,0.0
43,1993-01-01,1950-01-01,0.0
44,1994-01-01,1950-01-01,0.0
45,1995-01-01,1950-01-01,0.0
46,1996-01-01,1950-01-01,0.0
47,1997-01-01,1950-01-01,0.0
48,1998-01-01,1950-01-01,0.0
49,1999-01-01,1950-01-01,0.0
50,2000-01-01,1950-01-01,0.0
51,2001-01-01,1950-01-01,0.0
52,2002-01-01,1950-01-01,0.0
53,2003-01-01,1950-01-01,0.0
54,2004-01-01,1950-01-01,0.0
55,2005-01-01,1950-01-01,0.0
56,2006-01-01,1950-01-01,0.0
57,2007-01-01,1950-01-01,0.0
58,2008-01-01,1950-01-01,0.0
59,2009-01-01,1950-01-01,0.0
60,2010-01-01,1950-01-01,0.0
61,2011-01-01,1950-01-01,0.0
62,2012-01-01,1950-01-01,0.0
63,2013-01-01,1950-01-01,0.0
64,2014-01-01,1950-01-01,0.0
65,2015-01-01,1950-01-01,0.0
66,2016-01-01,1950-01-01,0.0
67,2017-01-01,1950-01-01,0.0
68,2018-01-01,1950-01-01,0.0
69,2019-01-01,1950-01-01,0.0
70,2020-01-01,1950-01-01,0.0
71,2021-01-01,1950-01-01,0.0
72,1950-01-01,1951-01-01,0.0
73,1951-01-01,1951-01-01,0.0
74,1952-01-01,1951-01-01,0.0
75,1953-01-01,1951-01-01,0.0
76,1954-01-01,1951-01-01,0.0
77,1955-01-01,1951-01-01,0.0
78,1956-01-01,1951-01-01,0.0
79,1957-01-01,1951-01-01,0.0
80,1958-01-01,1951-01-01,0.0
81,1959-01-01,1951-01-01,0.0
82,1960-01-01,1951-01-01,0.0
83,1961-01-01,1951-01-01,0.0
84,1962-01-01,1951-01-01,0.0
85,1963-01-01,1951-01-01,0.0
86,1964-01-01,1951-01-01,0.0
87,1965-01-01,1951-01-01,0.0
88,1966-01-01,1951-01-01,0.0
89,1967-01-01,1951-01-01,0.0
90,1968-01-01,1951-01-01,0.0
91,1969-01-01,1951-01-01,0.0
92,1970-01-01,1951-01-01,0.0
93,1971-01-01,1951-01-01,0.0
94,1972-01-01,1951-01-01,0.0
95,1973-01-01,1951-01-01,0.0
96,1974-01-01,1951-01-01,0.0
97,1975-01-01,1951-01-01,0.0
98,1976-01-01,1951-01-01,0.0
99,1977-01-01,1951-01-01,0.0
100,1978-01-01,1951-01-01,0.0
101,1979-01-01,1951-01-01,0.0
102,1980-01-01,1951-01-01,0.0
103,1981-01-01,1951-01-01,0.0
104,1982-01-01,1951-01-01,0.0
105,1983-01-01,1951-01-01,0.0
106,1984-01-01,1951-01-01,0.0
107,1985-01-01,1951-01-01,0.0
108,1986-01-01,1951-01-01,0.0
109,1987-01-01,1951-01-01,0.0
110,1988-01-01,1951-01-01,0.0
111,1989-01-01,1951-01-01,0.0
112,1990-01-01,1951-01-01,0.0
113,1991-01-01,1951-01-01,0.0
114,1992-01-01,1951-01-01,0.0
115,1993-01-01,1951-01-01,0.0
116,1994-01-01,1951-01-01,0.0
117,1995-01-01,1951-01-01,0.0
118,1996-01-01,1951-01-01,0.0
119,1997-01-01,1951-01-01,0.0
120,1998-01-01,1951-01-01,0.0
121,1999-01-01,1951-01-01,0.0
122,2000-01-01,1951-01-01,0.0
123,2001-01-01,1951-01-01,0.0
124,2002-01-01,1951-01-01,0.0
125,2003-01-01,1951-01-01,0.0
126,2004-01-01,1951-01-01,0.0
127,2005-01-01,1951-01-01,0.0
128,2006-01-01,1951-01-01,0.0
129,2007-01-01,1951-01-01,0.0
130,2008-01-01,1951-01-01,0.0
131,2009-01-01,1951-01-01,0.0
132,2010-01-01,1951-01-01,0.0
133,2011-01-01,1951-01-01,0.0
134,2012-01-01,1951-01-01,0.0
135,2013-01-01,1951-01-01,0.0
136,2014-01-01,1951-01-01,0.0
137,2015-01-01,1951-01-01,0.0
138,2016-01-01,1951-01-01,0.0
139,2017-01-01,1951-01-01,0.0
140,2018-01-01,1951-01-01,0.0
141,2019-01-01,1951-01-01,0.0
142,2020-01-01,1951-01-01,0.0
143,2021-01-01,1951-01-01,0.0
144,1950-01-01,1952-01-01,0.0
145,1951-01-01,1952-01-01,0.0
146,1952-01-01,1952-01-01,0.0
147,1953-01-01,1952-01-01,0.0
148,1954-01-01,1952-01-01,0.0
149,1955-01-01,1952-01-01,0.0
150,1956-01-01,1952-01-01,0.0
151,1957-01-01,1952-01-01,0.0
152,1958-01-01,1952-01-01,0.0
153,1959-01-01,1952-01-01,0.0
154,1960-01-01,1952-01-01,0.0
155,1961-01-01,1952-01-01,0.0
156,1962-01-01,1952-01-01,0.0
157,1963-01-01,1952-01-01,0.0
158,1964-01-01,1952-01-01,0.0
159,1965-01-01,1952-01-01,0.0
160,1966-01-01,1952-01-01,0.0
161,1967-01-01,1952-01-01,0.0
162,1968-01-01,1952-01-01,0.0
163,1969-01-01,1952-01-01,0.0
164,1970-01-01,1952-01-01,0.0
165,1971-01-01,1952-01-01,0.0
166,1972-01-01,1952-01-01,0.0
167,1973-01-01,1952-01-01,0.0
168,1974-01-01,1952-01-01,0.0
169,1975-01-01,1952-01-01,0.0
170,1976-01-01,1952-01-01,0.0
171,1977-01-01,1952-01-01,0.0
172,1978-01-01,1952-01-01,0.0
173,1979-01-01,1952-01-01,0.0
174,1980-01-01,1952-01-01,0.0
175,1981-01-01,1952-01-01,0.0
176,1982-01-01,1952-01-01,0.0
177,1983-01-01,1952-01-01,0.0
178,1984-01-01,1952-01-01,0.0
179,1985-01-01,1952-01-01,0.0
180,1986-01-01,1952-01-01,0.0
181,1987-01-01,1952-01-01,0.0
182,1988-01-01,1952-01-01,0.0
183,1989-01-01,1952-01-01,0.0
184,1990-01-01,1952-01-01,0.0
185,1991-01-01,1952-01-01,0.0
186,1992-01-01,1952-01-01,0.0
187,1993-01-01,1952-01-01,0.0
188,1994-01-01,1952-01-01,0.0
189,1995-01-01,1952-01-01,0.0
190,1996-01-01,1952-01-01,0.0
191,1997-01-01,1952-01-01,0.0
192,1998-01-01,1952-01-01,0.0
193,1999-01-01,1952-01-01,0.0
194,2000-01-01,1952-01-01,0.0
195,2001-01-01,1952-01-01,0.0
196,2002-01-01,1952-01-01,0.0
197,2003-01-01,1952-01-01,0.0
198,2004-01-01,1952-01-01,0.0
199,2005-01-01,1952-01-01,0.0
200,2006-01-01,1952-01-01,0.0
201,2007-01-01,1952-01-01,0.0
202,2008-01-01,1952-01-01,0.0
203,2009-01-01,1952-01-01,0.0
204,2010-01-01,1952-01-01,0.0
205,2011-01-01,1952-01-01,0.0
206,2012-01-01,1952-01-01,0.0
207,2013-01-01,1952-01-01,0.0
208,2014-01-01,1952-01-01,0.0
209,2015-01-01,1952-01-01,0.0
210,2016-01-01,1952-01-01,0.0
211,2017-01-01,1952-01-01,0.0
212,2018-01-01,1952-01-01,0.0
213,2019-01-01,1952-01-01,0.0
214,2020-01-01,1952-01-01,0.0
215,2021-01-01,1952-01-01,0.0
216,1950-01-01,1953-01-01,5.85
217,1951-01-01,1953-01-01,0.0
218,1952-01-01,1953-01-01,0.0
219,1953-01-01,1953-01-01,0.0
220,1954-01-01,1953-01-01,0.0
221,1955-01-01,1953-01-01,0.0
222,1956-01-01,1953-01-01,0.0
223,1957-01-01,1953-01-01,0.0
224,1958-01-01,1953-01-01,0.0
225,1959-01-01,1953-01-01,0.0
226,1960-01-01,1953-01-01,0.0
227,1961-01-01,1953-01-01,0.0
228,1962-01-01,1953-01-01,0.0
229,1963-01-01,1953-01-01,0.0
230,1964-01-01,1953-01-01,0.0
231,1965-01-01,1953-01-01,0.0
232,1966-01-01,1953-01-01,0.0
233,1967-01-01,1953-01-01,0.0
234,1968-01-01,1953-01-01,0.0
235,1969-01-01,1953-01-01,0.0
236,1970-01-01,1953-01-01,0.0
237,1971-01-01,1953-01-01,0.0
238,1972-01-01,1953-01-01,0.0
239,1973-01-01,1953-01-01,0.0
240,1974-01-01,1953-01-01,0.0
241,1975-01-01,1953-01-01,0.0
242,1976-01-01,1953-01-01,0.0
243,1977-01-01,1953-01-01,0.0
244,1978-01-01,1953-01-01,0.0
245,1979-01-01,1953-01-01,0.0
246,1980-01-01,1953-01-01,0.0
247,1981-01-01,1953-01-01,0.0
248,1982-01-01,1953-01-01,0.0
249,1983-01-01,1953-01-01,0.0
250,1984-01-01,1953-01-01,0.0
251,1985-01-01,1953-01-01,0.0
252,1986-01-01,1953-01-01,0.0
253,1987-01-01,1953-01-01,0.0
254,1988-01-01,1953-01-01,0.0
255,1989-01-01,1953-01-01,0.0
256,1990-01-01,1953-01-01,0.0
257,1991-01-01,1953-01-01,0.0
258,1992-01-01,1953-01-01,0.0
259,1993-01-01,1953-01-01,0.0
260,1994-01-01,1953-01-01,0.0
261,1995-01-01,1953-01-01,0.0
262,1996-01-01,1953-01-01,0.0
263,1997-01-01,1953-01-01,0.0
264,1998-01-01,1953-01-01,0.0
265,1999-01-01,1953-01-01,0.0
266,2000-01-01,1953-01-01,0.0
267,2001-01-01,1953-01-01,0.0
268,2002-01-01,1953-01-01,0.0
269,2003-01-01,1953-01-01,0.0
270,2004-01-01,1953-01-01,0.0
271,2005-01-01,1953-01-01,0.0
272,2006-01-01,1953-01-01,0.0
273,2007-01-01,1953-01-01,0.0
274,2008-01-01,1953-01-01,0.0
275,2009-01-01,1953-01-01,0.0
276,2010-01-01,1953-01-01,0.0
277,2011-01-01,1953-01-01,0.0
278,2012-01-01,1953-01-01,0.0
279,2013-01-01,1953-01-01,0.0
280,2014-01-01,1953-01-01,0.0
281,2015-01-01,1953-01-01,0.0
282,2016-01-01,1953-01-01,0.0
283,2017-01-01,1953-01-01,0.0
284,2018-01-01,1953-01-01,0.0
285,2019-01-01,1953-01-01,0.0
286,2020-01-01,1953-01-01,0.0
287,2021-01-01,1953-01-01,0.0
288,1950-01-01,1954-01-01,-0.55
289,1951-01-01,1954-01-01,-4.3
290,1952-01-01,1954-01-01,0.0
291,1953-01-01,1954-01-01,0.0
292,1954-01-01,1954-01-01,0.0
293,1955-01-01,1954-01-01,0.0
294,1956-01-01,1954-01-01,0.0
295,1957-01-01,1954-01-01,0.0
296,1958-01-01,1954-01-01,0.0
297,1959-01-01,1954-01-01,0.0
298,1960-01-01,1954-01-01,0.0
299,1961-01-01,1954-01-01,0.0
300,1962-01-01,1954-01-01,0.0
301,1963-01-01,1954-01-01,0.0
302,1964-01-01,1954-01-01,0.0
303,1965-01-01,1954-01-01,0.0
304,1966-01-01,1954-01-01,0.0
305,1967-01-01,1954-01-01,0.0
306,1968-01-01,1954-01-01,0.0
307,1969-01-01,1954-01-01,0.0
308,1970-01-01,1954-01-01,0.0
309,1971-01-01,1954-01-01,0.0
310,1972-01-01,1954-01-01,0.0
311,1973-01-01,1954-01-01,0.0
312,1974-01-01,1954-01-01,0.0
313,1975-01-01,1954-01-01,0.0
314,1976-01-01,1954-01-01,0.0
